0.50405,0.50404,0.50425,0.50420,0.50420,0.50398,0.50409,0.50407,0.50399,0.50402
0.50257,0.50251,0.50259,0.50198,0.50231,0.50248,0.50237,0.50224,0.50238,0.50175
0.49340,0.49329,0.49328,0.49338,0.49324,0.49320,0.49318,0.49320,0.49299,0.49301
-1.00427,-1.00424,-1.00431,-1.00426,-1.00423,-1.00423,-1.00424,-1.00423,-1.00346,-1.00416
-1.00426,-1.00427,-1.00422,-1.00425,-0.99279,-1.00417,-1.00413,-0.99158,-1.00405,-1.00413
-0.99175,-0.99178,-0.99174,-0.98446,-0.99170,-0.99169,-0.99169,-0.99158,-0.98484,-0.99155
-0.90810,-0.91173,-0.91126,-0.91540,-0.91265,-0.91127,-0.91128,-0.91540,-0.91081,-0.91356
-0.91952,-0.91768,-0.92230,-0.91862,-0.91906,-0.91675,-0.91952,-0.91676,-0.91629,-0.92000
-0.91537,-0.91954,-0.91907,-0.92138,-0.91905,-0.91677,-0.92231,-0.91723,-0.91815,-0.92045
10.60000,10.20000,10.25000,9.80000,10.10000,10.25000,10.25000,9.80000,10.30000,10.00000
9.35000,9.55000,9.05000,9.45000,9.40000,9.65000,9.35000,9.65000,9.70000,9.30000
9.80000,9.35000,9.40000,9.15000,9.40000,9.65000,9.05000,9.60000,9.50000,9.25000
